City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential
Riederich;0;5.000.001 - 25.000.000;16718010;41;14;10 - 19;291;290;290;17;243;235;17;1835.6169879010795
Schwerin;0;500.001 - 2.500.000;1650000;62;20;20 - 49;291;291;291;20;58;55;7;1918.84668032268
Vöhringen;0;;;74;4;20 - 49;290;290;292;25;24;23;1;1906.6728432046802
Kuppenheim;0;500.001 - 2.500.000;1000000;42;14;10 - 19;291;290;291;10;133;132;3;1360.03081886028
Hamburg;0;500.001 - 2.500.000;1600000;59;14;20 - 49;291;291;291;21;1682;1285;637;1842.5331982355992
Mülheim-Kärlich;0;2.500.001 - 5.000.000;3639224;43;22;10 - 19;291;290;290;18;200;195;22;1969.2508973530803
Berlin;0;5.000.001 - 25.000.000;5588500;53;16;20 - 49;291;291;291;30;2638;2520;292;1828.1762710091994
Lützen;0;2.500.001 - 5.000.000;5000000;44;14;20 - 49;291;291;291;41;;;;3218.3000993122814
Neustadt;0;2.500.001 - 5.000.000;3100000;10;3;10 - 19;291;290;291;19;22;22;1;1883.8143717154803
Stuttgart;0;500.001 - 2.500.000;2290256;40;14;10 - 19;291;291;291;10;818;797;52;2571.7021107419996
Weilheim;0;;;74;4;10 - 19;;;;15;19;18;2;1544.0386737514796
Odelzhausen;0;5.000.001 - 25.000.000;5556347;57;11;20 - 49;291;290;291;48;37;37;0;1948.72493765628
Berlin;0;25.000.001 - 50.000.000;27791553;42;20;10 - 19;291;291;291;15;3053;2933;313;1431.3534808103996
Garching;0;5.000.001 - 25.000.000;7000000;36;14;10 - 19;291;290;291;13;586;567;41;1721.6458467970788
Potsdam;0;250.001 - 500.000;260000;72;14;20 - 49;291;291;291;26;296;287;17;1612.72465958148
Langenfeld;0;;;42;14;20 - 49;291;291;291;44;415;410;17;2017.9116020674799
Volkertshausen;0;;;74;4;10 - 19;291;290;292;10;87;85;5;1506.68146127268
Wertach;0;;;74;4;10 - 19;291;292;292;15;21;20;2;1535.02461284868
Trier;0;500.001 - 2.500.000;1000000;59;14;20 - 49;291;290;291;30;;;;1777.2776247274796
Bielefeld;0;500.001 - 2.500.000;582401;55;14;10 - 19;291;290;291;10;214;208;17;1254.92678350428
Krefeld;0;500.001 - 2.500.000;2500000;44;14;10 - 19;291;291;291;15;288;284;14;2111.8591724386806
Mörfelden-Walldorf;0;5.000.001 - 25.000.000;10000000;47;3;20 - 49;291;291;291;30;365;360;24;2645.7964946782795
Inning;0;2.500.001 - 5.000.000;4025000;42;14;20 - 49;291;292;291;20;92;92;2;2059.7177677642803
Stuttgart;0;500.001 - 2.500.000;1870000;55;14;10 - 19;291;291;291;19;797;775;56;2072.8496176487997
Umkirch;0;5.000.001 - 25.000.000;8200000;41;14;20 - 49;291;290;291;25;268;261;16;2005.2016467250796
Berlin;0;5.000.001 - 25.000.000;12962199;42;16;20 - 49;291;291;291;36;2872;2751;303;1757.6360232587992
München;0;500.001 - 2.500.000;614680;55;14;20 - 49;291;291;291;24;1745;1691;127;1707.3498963515992
Bonn;0;;;55;14;10 - 19;291;290;291;12;397;393;23;1553.1473399914798
Ölbronn-Dürrn;0;;;74;4;10 - 19;290;290;290;15;179;178;3;1543.7441864242794
Mendig;0;2.500.001 - 5.000.000;4424930;39;14;20 - 49;291;291;290;45;;;;2154.4428633670796
Riesa;0;2.500.001 - 5.000.000;3500000;76;14;20 - 49;291;291;292;48;34;34;2;2053.83223975668
Reichenbach;0;;;74;4;20 - 49;291;291;291;27;348;345;17;1939.47638735628
Bielefeld;0;500.001 - 2.500.000;1600000;47;16;10 - 19;291;291;291;12;239;230;20;1918.3282528054797
Arnstadt;0;5.000.001 - 25.000.000;6500000;41;31;20 - 49;291;291;291;20;73;72;6;1953.4169624794797
Pfronstetten;0;;;74;4;20 - 49;291;292;292;20;9;9;0;1877.2724612086802
Norderstedt;0;5.000.001 - 25.000.000;19500000;42;16;20 - 49;291;291;291;41;840;684;268;1898.5343715947993
Mainz;0;2.500.001 - 5.000.000;2681346;55;14;10 - 19;291;291;291;19;224;218;11;1998.0222847594805
Lilienthal;0;2.500.001 - 5.000.000;2900000;66;14;10 - 19;291;290;291;11;;;;1557.6563095786796
Gräfenroda;0;;;74;4;20 - 49;291;290;292;29;63;63;5;1906.6728432046802
Uttenreuth;0;;;74;4;50 - 99;291;291;290;50;141;139;9;1902.92306246028
Schönefeld;0;25.000.001 - 50.000.000;30907720;62;3;10 - 19;291;291;291;14;436;426;23;1668.632662077479
Köln;0;500.001 - 2.500.000;1500000;72;20;10 - 19;291;291;291;13;934;921;45;1991.8592188799996
Krailling;0;;;74;4;20 - 49;291;290;291;30;814;792;59;2108.2484777723994
Sindelfingen;0;5.000.001 - 25.000.000;10220990;55;14;20 - 49;291;291;291;26;;;;2079.3106965730794
Wiesenbach;0;;;74;4;20 - 49;291;291;291;30;199;198;6;1931.8849081162798
Iggensbach;0;;;74;4;10 - 19;291;292;292;10;7;6;1;1499.0899820326802
Mainz;0;5.000.001 - 25.000.000;5988153;57;11;20 - 49;291;291;291;44;390;380;19;1997.7600687610798
Einbeck;0;500.001 - 2.500.000;2500000;38;18;20 - 49;291;291;291;35;21;20;2;2009.30507729868
Siegen;0;5.000.001 - 25.000.000;11000000;63;14;20 - 49;291;291;291;32;91;86;10;2070.7041718042797
Uhldingen-Mühlhofen;0;;;74;4;20 - 49;291;290;290;32;86;84;4;1914.37737125148
Wiesbaden;0;50.000.001 - 500.000.000;109924000;22;14;20 - 49;291;291;291;46;380;371;18;1810.56629055588
Gaildorf;0;5.000.001 - 25.000.000;7000000;15;14;20 - 49;291;291;291;20;14;14;0;2014.9629110362798
