City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential
Sonnenbühl;0;;;13;14;10 - 19;291;290;290;11;84;81;7;1465.0951249714803
Kölleda;0;500.001 - 2.500.000;1500000;42;18;10 - 19;291;292;290;12;33;33;1;1502.0384107954803
Stuttgart;0;5.000.001 - 25.000.000;7546000;68;14;20 - 49;291;291;291;37;698;679;48;2160.2808955330793
Bensheim;0;500.001 - 2.500.000;1500000;61;4;20 - 49;291;290;291;23;;;;1957.67888187948
Satteldorf;0;2.500.001 - 5.000.000;4486689;28;15;20 - 49;291;291;291;39;25;24;1;1985.88831514428
Kappelrodeck;0;2.500.001 - 5.000.000;2987644;17;16;20 - 49;291;291;292;30;41;41;1;2053.83223975668
Saarbrücken;0;2.500.001 - 5.000.000;2851754;27;14;20 - 49;291;291;291;28;170;169;4;2003.6711721226798
Zweibrücken;0;;;62;16;20 - 49;291;291;291;32;55;54;4;2120.9810996446795
Trier;0;2.500.001 - 5.000.000;3200000;24;14;20 - 49;291;291;291;34;97;96;4;2045.28788358348
Bockhorn;0;;;40;14;10 - 19;291;290;291;16;50;50;3;2192.7833933567995
Korschenbroich;0;2.500.001 - 5.000.000;3000000;23;14;10 - 19;291;290;291;14;368;364;16;1585.4168401642796
Aschaffenburg;0;;;76;4;20 - 49;291;290;291;20;137;134;9;1974.15355638348
Untersteinach;0;2.500.001 - 5.000.000;2623273;24;14;20 - 49;291;290;292;37;35;34;4;2012.3044975678806
Frankfurt;0;;;83;28;20 - 49;291;291;291;40;893;864;78;2115.0146622203993
Offingen;0;5.000.001 - 25.000.000;21178751;9;14;20 - 49;291;290;291;38;67;66;5;1711.58064594708
Konstanz;0;;;76;13;20 - 49;291;291;291;28;66;64;4;2009.30507729868
Bolsterlang;0;;;44;16;20 - 49;291;290;291;35;31;31;1;2301.44651731068
Bad Schwalbach;0;5.000.001 - 25.000.000;7300000;41;14;20 - 49;291;290;291;22;;;;1999.0153484842795
Dachau;0;5.000.001 - 25.000.000;6000000;41;16;20 - 49;291;290;291;25;306;302;22;1999.0153484842795
Wiesbaden;0;500.001 - 2.500.000;1633001;9;4;20 - 49;291;291;291;49;358;351;15;1957.67888187948
Rösrath;0;2.500.001 - 5.000.000;3600000;66;14;20 - 49;291;291;291;40;323;322;12;2124.06555330108
Neuss;0;5.000.001 - 25.000.000;7700000;43;31;20 - 49;291;291;291;30;;;;2024.3703934450796
Pfullingen;0;;;42;14;10 - 19;291;290;291;16;165;160;13;1754.2971311914798
Radolfzell;0;2.500.001 - 5.000.000;4500000;36;14;20 - 49;291;290;291;39;68;66;5;2107.8675492922803
Rodalben;0;500.001 - 2.500.000;540000;44;14;10 - 19;291;291;291;15;55;54;3;1493.33358428748
Egelsbach;0;500.001 - 2.500.000;1750000;43;14;10 - 19;291;291;291;12;267;260;21;1487.3720514922802
Maintal;0;500.001 - 2.500.000;1800000;72;14;20 - 49;291;291;291;26;623;607;47;2602.2663192706796
Rödermark;0;25.000.001 - 50.000.000;47207285;42;14;20 - 49;291;290;291;35;216;212;11;1783.9998874918797
Hamm;0;;;9;16;20 - 49;291;290;291;40;;;;2017.9116020674799
Eisenberg;0;;;31;14;20 - 49;291;290;291;30;49;45;8;1990.5556777666802
Leverkusen;0;500.001 - 2.500.000;700000;65;14;10 - 19;291;291;291;11;685;681;24;1350.34907997948
Reil;0;500.001 - 2.500.000;720000;49;16;10 - 19;291;292;292;11;13;13;0;1267.0665813454802
Forchheim;0;;;41;16;20 - 49;291;291;291;20;55;54;2;1903.2811421146798
Neitersen;0;500.001 - 2.500.000;2350000;44;4;20 - 49;291;290;292;20;;;;2276.2435749598803
Moers;0;5.000.001 - 25.000.000;7100000;39;16;20 - 49;291;291;291;38;352;348;13;2117.2794858790794
Hörstel;0;2.500.001 - 5.000.000;4200000;47;14;10 - 19;291;290;291;16;49;47;2;2455.8910748614803
Ostfildern;0;5.000.001 - 25.000.000;13000000;51;16;20 - 49;291;291;291;35;;;;1876.70766111468
Hamburg;0;500.001 - 2.500.000;1550000;42;14;10 - 19;291;291;291;13;1573;1221;570;1640.816816980799
Walsrode;0;5.000.001 - 25.000.000;6500000;40;14;20 - 49;291;290;291;44;13;13;0;3483.173904386279
München;0;500.001 - 2.500.000;1250000;9;14;20 - 49;291;291;291;30;;;;1883.4042555274798
Hinterweidenthal;0;5.000.001 - 25.000.000;10000000;27;16;50 - 99;291;292;292;50;25;24;2;2016.59793142548
Bayreuth;0;500.001 - 2.500.000;1671306;40;14;10 - 19;291;291;291;19;57;57;3;2595.98770998948
Niederfischbach;0;;;42;14;20 - 49;291;290;292;25;46;41;8;1992.69953715588
Frankfurt;0;2.500.001 - 5.000.000;4300000;73;14;20 - 49;291;290;291;20;855;825;80;2204.4986639411995
Ense;0;500.001 - 2.500.000;2100000;15;14;20 - 49;291;291;291;25;68;67;3;2009.30507729868
Bad Nauheim;0;;;40;14;20 - 49;291;290;290;43;80;80;2;2691.53787778068
Rottweil;0;;;61;4;20 - 49;291;290;292;40;73;72;2;1985.9333527078804
Keltern;0;5.000.001 - 25.000.000;6200000;25;14;20 - 49;291;290;290;34;173;170;10;2079.3106965730794
Köln;0;2.500.001 - 5.000.000;4600000;40;4;20 - 49;291;290;291;20;1028;1013;51;3158.3805328152007
Ettenheim;0;5.000.001 - 25.000.000;23000000;21;14;20 - 49;291;290;291;46;99;98;4;1730.3300454790801
Singen;0;2.500.001 - 5.000.000;3900000;41;14;20 - 49;291;291;291;24;78;76;5;2027.57220120348
Hanau;0;;;42;14;20 - 49;291;291;291;27;243;239;13;2261.79828800748
Großheubach;0;2.500.001 - 5.000.000;4050000;43;4;20 - 49;291;290;292;30;17;16;1;2009.9925393334802
Neuenbürg;0;;;24;14;20 - 49;291;290;290;27;163;161;5;1983.86069365548
Andernach;0;500.001 - 2.500.000;2116836;41;14;10 - 19;291;290;291;19;;;;1884.23535408348
München;0;500.001 - 2.500.000;840000;81;4;10 - 19;291;290;291;12;1597;1550;112;1428.5455492656
Singen;0;500.001 - 2.500.000;2300000;40;14;10 - 19;291;290;292;17;69;67;5;2388.4329559738794
Bad Zwischenahn;0;500.001 - 2.500.000;1600000;80;46;20 - 49;291;290;291;21;56;54;3;1820.8367712874797
Kolkwitz;0;2.500.001 - 5.000.000;3161153;43;16;20 - 49;291;290;290;30;103;103;5;1987.56428990028
Frankfurt;0;;;42;14;20 - 49;291;291;291;33;883;855;79;2194.2751717235997
Calw;0;500.001 - 2.500.000;2397013;24;14;20 - 49;291;291;290;28;69;68;4;1975.2541688866802
Finnentrop;0;25.000.001 - 50.000.000;30000000;23;16;20 - 49;291;290;292;44;23;23;1;1686.2010851002801
Delitzsch;0;500.001 - 2.500.000;1100000;42;14;10 - 19;291;291;291;11;60;59;4;1351.42429409148
Marktheidenfeld;0;500.001 - 2.500.000;1500000;43;14;20 - 49;291;290;292;20;12;12;1;1812.0706582678802
Ravensburg;0;;;41;4;50 - 99;291;291;291;50;89;87;3;1987.6678577074808
Bad Kreuznach;0;500.001 - 2.500.000;1920000;44;31;20 - 49;291;291;291;26;56;55;3;2301.44651731068
Estenfeld;0;5.000.001 - 25.000.000;5226000;63;20;20 - 49;290;290;290;23;155;152;8;2079.3106965730794
Bad Homburg;0;;;43;14;10 - 19;291;291;291;12;311;308;23;1498.2070368634802
Oberpframmern;0;5.000.001 - 25.000.000;7100000;31;14;20 - 49;291;290;291;36;169;164;13;2060.5612970410793
Würzburg;0;;;50;14;20 - 49;291;291;291;41;171;168;8;2025.50308130748
Reutlingen;0;;;24;14;10 - 19;291;290;291;15;207;202;13;1586.0567652754794
Karlsruhe;0;500.001 - 2.500.000;1000000;40;16;10 - 19;291;291;291;10;;;;1860.1210401934802
Kusel;0;500.001 - 2.500.000;1180000;55;3;10 - 19;291;290;291;16;15;15;0;1631.04840329148
Aschaffenburg;0;;;27;14;20 - 49;291;290;291;25;;;;1999.16220253548
Freiburg;0;;;50;14;20 - 49;291;290;291;25;246;241;14;2017.9116020674799
Limbach;0;2.500.001 - 5.000.000;2815581;21;14;20 - 49;291;292;292;31;15;15;0;1997.2085067430803
Sondershausen;0;500.001 - 2.500.000;2100000;43;14;20 - 49;291;292;292;32;;;;1911.13558001268
Ulm;0;;;61;13;20 - 49;291;290;290;30;235;231;8;2009.01058997148
Albershausen;0;5.000.001 - 25.000.000;6500000;42;14;10 - 19;291;290;290;17;377;372;17;2189.2507257970797
Fellbach;0;2.500.001 - 5.000.000;5000000;42;14;20 - 49;291;291;291;33;742;728;43;2325.1910153172
Karlsfeld;0;5.000.001 - 25.000.000;6500000;43;14;20 - 49;291;291;291;26;1041;1007;79;2130.4095264011994
Hamburg;0;500.001 - 2.500.000;2177820;40;16;10 - 19;291;290;291;14;1347;606;814;2230.890528790799
Rothenburg;0;5.000.001 - 25.000.000;8399012;33;14;20 - 49;291;291;292;38;9;9;1;2007.78989471748
Unterschleißheim;0;500.001 - 2.500.000;1150000;40;14;10 - 19;291;290;291;15;293;284;21;1751.8171569143997
Neumarkt;0;25.000.001 - 50.000.000;30000000;42;14;20 - 49;291;290;292;30;28;28;1;1767.6888346762798
München;0;2.500.001 - 5.000.000;3200000;61;4;10 - 19;291;291;291;16;1771;1715;128;1753.5636600936
Riedstadt;0;500.001 - 2.500.000;2200000;72;14;20 - 49;291;290;291;20;204;199;8;2566.5089240506795
Röllbach;0;5.000.001 - 25.000.000;6591621;43;16;20 - 49;291;290;292;21;15;14;1;1943.42877984948
Wittlich;0;500.001 - 2.500.000;900000;61;13;10 - 19;291;291;292;15;16;15;1;1392.8780755486803
Köln;0;500.001 - 2.500.000;2480000;24;14;20 - 49;291;291;291;30;997;982;52;2169.1252754075995
Mönchengladbach;0;2.500.001 - 5.000.000;3100000;32;14;10 - 19;291;290;291;11;287;282;15;1614.2800425922796
Hannover;0;5.000.001 - 25.000.000;11100000;25;14;20 - 49;291;291;291;26;718;707;32;2140.9692173530793
Heusweiler;0;500.001 - 2.500.000;2050000;40;14;20 - 49;291;291;291;35;;;;2709.0454146454795
Lübbecke;0;2.500.001 - 5.000.000;3000000;17;16;10 - 19;291;291;291;12;;;;1614.2800425922796
Nürnberg;0;500.001 - 2.500.000;1500000;49;14;20 - 49;291;290;291;30;433;422;40;1892.7760360642797
Bad Gandersheim;0;500.001 - 2.500.000;780000;59;14;10 - 19;291;292;292;13;14;14;1;1392.8780755486803
Sulzbach-Laufen;0;;;24;14;10 - 19;291;292;292;14;8;8;0;1560.8447003638798
Kitzingen;0;500.001 - 2.500.000;1275000;40;14;20 - 49;291;291;291;26;43;43;2;2349.0274447368
Hallbergmoos;0;5.000.001 - 25.000.000;11982685;42;14;20 - 49;291;291;291;42;140;136;6;2005.4898143998796
Burgstetten;0;500.001 - 2.500.000;2449584;25;14;20 - 49;291;290;291;29;194;192;10;2006.75368177548
München;0;500.001 - 2.500.000;1660000;49;4;20 - 49;291;291;291;25;1766;1710;127;1876.6364212643994
Bad Vilbel;0;;;63;14;50 - 99;291;290;290;50;559;545;47;2049.7100460514794
Würzburg;0;500.001 - 2.500.000;1000000;82;14;20 - 49;291;291;291;25;175;172;9;1679.4050446546798
Roßdorf;0;500.001 - 2.500.000;1794000;25;14;20 - 49;291;291;291;33;171;167;12;2017.9116020674799
Köln;0;500.001 - 2.500.000;1492682;40;14;10 - 19;291;291;291;19;972;958;47;2952.2147584619997
Lindau;0;500.001 - 2.500.000;1670000;43;14;10 - 19;291;291;290;17;27;27;1;1776.2459861074801
Rodenberg;0;500.001 - 2.500.000;2500000;77;14;50 - 99;291;290;290;50;52;51;2;1954.0023528706804
Augsburg;0;2.500.001 - 5.000.000;2810000;40;14;20 - 49;291;290;291;22;406;403;17;3270.7557725878796
Worms;0;500.001 - 2.500.000;1100000;41;14;10 - 19;291;291;291;10;176;175;4;1290.99874491228
Mettmann;0;;;63;4;10 - 19;291;290;291;10;401;399;19;1546.3811555434802
Albstadt;0;5.000.001 - 25.000.000;15000000;12;50;20 - 49;291;290;292;32;56;55;2;1841.64720876708
Eschelbronn;0;;;43;16;20 - 49;291;290;290;28;82;81;1;1910.2335832906801
Appenweier;0;500.001 - 2.500.000;1699500;28;14;20 - 49;291;290;291;22;96;96;2;1880.59503948348
Erfurt;0;2.500.001 - 5.000.000;4000000;24;14;20 - 49;291;291;291;28;202;195;19;2091.32417774508
Andernach;0;5.000.001 - 25.000.000;6000000;9;22;20 - 49;291;290;291;22;;;;2060.5612970410793
Bad Homburg;0;500.001 - 2.500.000;1700000;82;14;20 - 49;291;291;291;42;;;;1889.33889321468
Nordkirchen;0;500.001 - 2.500.000;2000000;40;16;20 - 49;291;292;290;20;81;80;2;2929.6957541134802
Memmingen;0;;;61;4;20 - 49;291;291;291;23;56;56;0;2010.1303720906803
Spessart;0;5.000.001 - 25.000.000;6000000;42;14;10 - 19;291;290;292;14;16;16;0;1656.2947032814795
Nettetal;0;500.001 - 2.500.000;1500000;40;16;10 - 19;291;291;290;16;;;;2112.8857210582796
Schleusingen;0;500.001 - 2.500.000;1350000;29;14;20 - 49;291;292;291;43;;;;1874.0266365322796
Arnsberg;0;250.001 - 500.000;400000;9;13;20 - 49;291;291;291;25;60;59;2;1581.0999377746803
Berlin;0;500.001 - 2.500.000;1000000;47;13;10 - 19;291;290;291;12;;;;1688.57361568548
Holzwickede;0;500.001 - 2.500.000;2000000;66;14;20 - 49;291;291;291;24;301;295;20;2017.9116020674799
Friedrichshafen;0;;;44;14;20 - 49;290;290;290;22;91;89;5;3057.158684662681
Nürnberg;0;2.500.001 - 5.000.000;3000000;44;14;50 - 99;291;291;291;50;517;504;43;3059.02501809948
Karlsruhe;0;5.000.001 - 25.000.000;7000000;25;14;20 - 49;291;291;291;44;353;347;18;2079.3106965730794
Neulingen;0;;;24;14;20 - 49;291;290;291;33;185;184;4;1974.0123062194798
Leverkusen;0;2.500.001 - 5.000.000;2746650;55;3;20 - 49;291;290;291;33;471;468;13;2126.34875447148
Dinslaken;0;5.000.001 - 25.000.000;7834000;31;14;20 - 49;291;290;291;34;316;311;17;2086.90217581308
Osburg;0;2.500.001 - 5.000.000;4500000;28;14;20 - 49;291;292;290;36;21;21;0;1985.88831514428
Augsburg;0;500.001 - 2.500.000;2100000;44;16;20 - 49;291;291;291;38;361;358;20;2311.52432741388
München;0;5.000.001 - 25.000.000;6211466;19;14;20 - 49;291;290;291;49;1732;1677;123;1944.1514538491992
Gevelsberg;0;2.500.001 - 5.000.000;3100000;41;14;10 - 19;291;291;291;15;272;266;14;1628.2429880170794
Villingen-Schwenningen;0;5.000.001 - 25.000.000;6800000;43;14;20 - 49;291;291;292;32;120;118;6;2016.6658653982795
Schwülper;0;5.000.001 - 25.000.000;7500000;41;16;20 - 49;291;290;291;29;164;163;3;1999.0153484842795
Düsseldorf;0;25.000.001 - 50.000.000;35000000;42;14;20 - 49;291;291;291;36;831;820;51;1847.1995058719992
Köln;0;2.500.001 - 5.000.000;2600000;61;4;20 - 49;291;290;291;23;1021;1007;45;2194.4517812436
Straßlach-Dingharting;0;5.000.001 - 25.000.000;10002000;43;22;20 - 49;291;291;291;30;237;234;11;2024.3703934450796
Mönchengladbach;0;;;24;14;10 - 19;291;290;291;15;265;261;14;1586.0567652754794
Memmingen;0;500.001 - 2.500.000;2100000;9;4;20 - 49;291;290;291;45;56;56;0;2002.5388928506804
München;0;500.001 - 2.500.000;2300000;63;4;20 - 49;291;290;291;20;2995;2742;359;1937.7830616035997
Waiblingen;0;5.000.001 - 25.000.000;9600000;73;14;20 - 49;291;291;291;39;721;707;44;2160.2808955330793
Holzminden;0;500.001 - 2.500.000;1555568;40;14;20 - 49;291;290;290;22;16;15;3;2733.07377993348
München;0;500.001 - 2.500.000;860000;85;14;20 - 49;291;290;291;25;1736;1677;130;1775.4956736155993
Horst;0;500.001 - 2.500.000;1500000;40;15;10 - 19;291;291;291;10;75;67;16;1815.8630403454797
Bremen;0;500.001 - 2.500.000;1473000;63;14;10 - 19;291;291;291;17;318;308;22;1841.1023468602798
Saarwellingen;0;250.001 - 500.000;319083;47;14;10 - 19;291;290;291;15;102;101;8;1590.1099230406799
Wiesbaden;0;500.001 - 2.500.000;1700000;40;4;10 - 19;291;291;291;19;349;342;15;2525.5920193774796
Hamburg;0;;;65;16;20 - 49;291;291;291;22;4586;2041;2855;1902.2914664315992
Recke;0;500.001 - 2.500.000;2000000;43;14;20 - 49;291;290;290;45;41;39;2;1910.2335832906801
München;0;500.001 - 2.500.000;1800000;65;14;10 - 19;291;291;291;16;1724;1674;122;1729.4177254607998
Frankfurt;0;;;41;14;20 - 49;291;291;291;48;806;782;70;2199.4649701403996
Schwalmstadt;0;2.500.001 - 5.000.000;2850000;43;14;20 - 49;291;290;292;21;10;10;0;1870.04616359508
Nürnberg;0;;;63;4;20 - 49;291;291;291;20;503;488;50;2042.5053252634793
Darmstadt;0;5.000.001 - 25.000.000;5400000;17;14;20 - 49;291;291;291;46;236;230;15;2060.5612970410793
Pinneberg;0;;;57;14;10 - 19;291;291;291;10;335;286;98;1557.9713888122797
Salzgitter;0;2.500.001 - 5.000.000;4570000;42;13;20 - 49;291;291;291;40;;;;2124.06555330108
Dietfurt;0;500.001 - 2.500.000;1200000;43;4;20 - 49;291;292;292;31;7;6;1;1797.4794418078802
Köln;0;500.001 - 2.500.000;2100000;55;14;20 - 49;291;290;291;42;888;875;45;2194.2751717235997
Rohrbach;0;;;27;14;20 - 49;291;292;291;40;45;43;3;1990.5556777666802
Braunschweig;0;;;63;14;20 - 49;291;291;291;45;192;190;4;2017.9116020674799
Schöllnach;0;;;27;14;20 - 49;291;292;291;24;6;5;1;1990.5556777666802
Sulingen;0;500.001 - 2.500.000;800000;40;16;10 - 19;291;291;291;10;13;13;0;1860.1210401934802
Dortmund;0;500.001 - 2.500.000;1100000;40;16;10 - 19;291;290;291;12;;;;1860.1210401934802
Bohmte;0;5.000.001 - 25.000.000;7300000;24;14;20 - 49;291;290;292;45;35;33;2;2037.8497474414798
Meßstetten;0;;;17;14;20 - 49;291;292;292;24;32;32;0;2000.2910163958804
Insingen;0;2.500.001 - 5.000.000;3800000;40;14;20 - 49;291;292;292;29;14;14;1;3513.1785480154795
Kaarst;0;;;44;4;20 - 49;291;290;291;45;458;451;28;2343.72042356268
Temmels;0;2.500.001 - 5.000.000;3500000;9;4;20 - 49;292;292;292;30;18;18;1;2047.0660553086805
Neuwied;0;5.000.001 - 25.000.000;5400000;27;14;20 - 49;291;291;291;43;;;;2068.1527762810797
Neuensalz;0;500.001 - 2.500.000;1210000;47;16;10 - 19;291;290;290;17;65;61;5;2150.8162594966802
Reutlingen;0;5.000.001 - 25.000.000;7000000;27;14;20 - 49;291;290;291;23;171;166;13;2079.3106965730794
Witten;0;5.000.001 - 25.000.000;5928223;72;14;20 - 49;291;291;291;39;365;355;21;2664.8998797922795
Lübbecke;0;5.000.001 - 25.000.000;9000000;41;14;20 - 49;291;291;291;40;58;57;3;2039.69499830748
Ettringen;0;;;22;14;20 - 49;290;290;292;30;43;42;3;1992.69953715588
Braubach;0;5.000.001 - 25.000.000;22702050;41;14;20 - 49;291;290;290;49;81;81;5;1724.72568933828
München;0;5.000.001 - 25.000.000;13419263;47;14;20 - 49;291;291;291;33;1719;1661;129;2243.9323150679993
Mettmann;0;500.001 - 2.500.000;2405000;24;16;20 - 49;291;291;291;21;397;391;24;1955.7698445154797
Hameln;0;500.001 - 2.500.000;1200000;77;14;20 - 49;291;291;291;22;74;73;9;1856.0483312266801
Nordhausen;0;;;63;16;20 - 49;291;291;292;26;23;22;1;2000.2910163958804
Ratingen;0;;;41;14;20 - 49;291;291;291;20;482;479;24;1960.9277575834794
Bad Rothenfelde;0;500.001 - 2.500.000;1720000;43;4;10 - 19;291;291;291;17;39;38;2;1800.32192592348
Gräfelfing;0;500.001 - 2.500.000;900000;42;3;10 - 19;291;291;291;10;1351;1308;98;1490.4479938488
Blieskastel;0;5.000.001 - 25.000.000;10000000;42;16;20 - 49;291;290;290;32;;;;2079.3106965730794
Dachau;0;5.000.001 - 25.000.000;6100000;55;14;10 - 19;291;290;291;12;362;358;22;1614.5464344970796
Schönebeck;0;500.001 - 2.500.000;2035240;43;14;20 - 49;291;291;291;45;47;47;2;1954.36477417068
Dormagen;0;;;50;4;10 - 19;291;292;291;10;397;395;18;1546.3811555434802
Sehnde;0;500.001 - 2.500.000;1151000;24;14;10 - 19;291;290;290;15;302;296;11;1384.03923204828
Bodenmais;0;2.500.001 - 5.000.000;2750000;49;31;20 - 49;291;291;292;25;4;4;0;1950.6024051406803
Bad Kohlgrub;0;500.001 - 2.500.000;1660000;76;16;20 - 49;291;292;292;30;7;7;2;1920.48360188388
Rechberghausen;0;5.000.001 - 25.000.000;9000000;27;15;50 - 99;291;290;290;50;306;301;15;2040.5004634810798
Saarbrücken;0;500.001 - 2.500.000;2500000;21;14;20 - 49;291;291;291;35;;;;2017.9116020674799
Bexbach;0;500.001 - 2.500.000;2500000;24;14;10 - 19;291;290;291;13;107;105;9;1586.0567652754794
Duisburg;0;5.000.001 - 25.000.000;6698136;47;14;20 - 49;291;291;291;30;418;413;17;2745.39626878548
Wetzlar;0;500.001 - 2.500.000;1700000;47;16;10 - 19;291;290;291;14;;;;2122.28299588548
Kelkheim;0;5.000.001 - 25.000.000;6870000;42;14;20 - 49;291;291;291;41;313;309;16;2079.3106965730794
Bremen;0;5.000.001 - 25.000.000;10100000;41;31;20 - 49;291;290;291;20;312;304;19;1962.0234872482795
Weiterstadt;0;2.500.001 - 5.000.000;3250000;40;14;20 - 49;291;291;291;48;243;236;16;3169.636150550279
Mönchengladbach;0;500.001 - 2.500.000;1550000;42;14;20 - 49;291;291;291;30;307;303;13;1964.4450663274797
Gattendorf;0;2.500.001 - 5.000.000;4500000;30;14;20 - 49;291;292;292;26;60;59;3;2089.00510095348
Frankfurt;0;;;82;14;20 - 49;291;291;291;37;850;820;80;2126.3278705115995
Schwabhausen;0;500.001 - 2.500.000;2400000;24;16;20 - 49;291;292;291;25;128;126;5;1992.76170575148
Erfurt;0;500.001 - 2.500.000;2300000;61;13;10 - 19;291;290;291;16;203;197;18;1754.2971311914798
Offenburg;0;5.000.001 - 25.000.000;13880000;17;14;20 - 49;291;291;291;49;110;108;4;1875.6332943826797
Lohmar;0;500.001 - 2.500.000;900000;40;4;20 - 49;291;291;291;20;284;283;19;2084.51572265748
Mainz;0;500.001 - 2.500.000;1000000;43;14;10 - 19;291;290;291;15;378;369;19;1357.37739165228
Hof;0;500.001 - 2.500.000;2000000;40;16;20 - 49;291;290;290;23;;;;2700.1444025494793
Greußen;0;2.500.001 - 5.000.000;2800000;1;14;10 - 19;291;290;291;18;18;18;1;1949.1698728498802
Ahlen;0;5.000.001 - 25.000.000;17800000;66;14;20 - 49;291;290;291;20;;;;1897.9669403278797
Landshut;0;500.001 - 2.500.000;800000;9;24;20 - 49;290;290;292;22;90;88;2;1752.06555981588
Bretten;0;5.000.001 - 25.000.000;5250000;47;16;20 - 49;291;292;290;24;89;87;4;2643.56236522548
Duisburg;0;5.000.001 - 25.000.000;11900000;43;14;20 - 49;291;290;291;49;319;314;16;1917.93924911508
Schöppenstedt;0;500.001 - 2.500.000;1653285;39;14;20 - 49;291;290;291;27;11;11;0;1955.83854155868
Mettmann;0;5.000.001 - 25.000.000;7105000;79;20;20 - 49;291;290;291;40;370;363;21;2005.3515480010797
Offenbach;0;5.000.001 - 25.000.000;5700000;42;14;20 - 49;291;290;291;37;734;709;64;2160.2808955330793
Polle;0;2.500.001 - 5.000.000;3100000;44;4;20 - 49;291;292;292;36;19;16;5;3149.9071260886794
Hirrlingen;0;;;44;24;20 - 49;291;290;292;20;40;40;1;3040.0314596158805
Köln;0;500.001 - 2.500.000;1400000;55;3;20 - 49;291;291;291;20;;;;1927.4532050914797
Hude;0;500.001 - 2.500.000;2500000;41;14;10 - 19;291;291;291;16;27;27;0;1676.6585324746802
Brand-Erbisdorf;0;;;24;14;50 - 99;291;291;291;50;63;63;6;1956.5028681826802
Hamm;0;500.001 - 2.500.000;1451964;41;14;20 - 49;291;291;291;23;130;125;14;1901.5992906202796
Siegburg;0;;;24;30;10 - 19;291;291;291;13;343;340;24;1586.0567652754794
Düsseldorf;0;500.001 - 2.500.000;650000;50;4;20 - 49;291;290;291;20;913;901;63;1872.4375002155994
Eltmann;0;2.500.001 - 5.000.000;4000000;27;16;20 - 49;291;291;290;25;14;14;1;2089.11814976028
Lippstadt;0;2.500.001 - 5.000.000;5000000;61;3;20 - 49;291;291;291;20;;;;2079.48221282508
Kaltensundheim;0;500.001 - 2.500.000;1878343;14;14;20 - 49;291;292;292;26;3;3;0;1894.68962812068
Auerbach;0;2.500.001 - 5.000.000;3950000;7;16;20 - 49;291;292;292;30;;;;1994.3817911062802
Geisenfeld;0;2.500.001 - 5.000.000;3800000;43;14;10 - 19;291;292;291;10;36;35;2;1552.93280530428
Werl;0;2.500.001 - 5.000.000;3384234;21;16;20 - 49;291;290;291;30;59;58;3;2070.43777989948
Husum;0;5.000.001 - 25.000.000;22871279;33;14;20 - 49;291;290;291;46;10;10;0;1712.65501267908
Neubrandenburg;0;500.001 - 2.500.000;2500000;43;4;10 - 19;291;290;291;10;41;37;5;1454.3703333106803
Mönchengladbach;0;5.000.001 - 25.000.000;6538000;25;16;20 - 49;291;291;291;42;262;258;14;2079.3106965730794
Eisenach;0;2.500.001 - 5.000.000;4100000;73;14;20 - 49;291;291;291;45;67;67;2;2107.8675492922803
Bocholt;0;5.000.001 - 25.000.000;18500000;41;31;20 - 49;291;291;291;32;86;85;2;1862.95431692988
Mönchengladbach;0;2.500.001 - 5.000.000;3033267;46;14;20 - 49;291;290;291;20;330;324;16;1920.0732092842798
Landsberg;0;500.001 - 2.500.000;1054465;27;14;10 - 19;291;291;291;15;39;38;2;1409.48361569148
Hüttenberg;0;;;69;4;20 - 49;291;290;292;41;123;121;6;1994.5398774766802
Trossingen;0;;;42;14;20 - 49;291;290;292;21;117;115;5;1964.3142006886799
Olbernhau;0;500.001 - 2.500.000;1640000;40;14;20 - 49;291;290;292;20;;;;2543.20091168268
Gornsdorf;0;2.500.001 - 5.000.000;4487200;42;31;20 - 49;291;291;291;21;;;;2079.48221282508
Stuttgart;0;2.500.001 - 5.000.000;2800000;49;20;20 - 49;291;291;291;30;831;809;55;2129.5489354283995
Renchen;0;;;82;13;20 - 49;291;290;291;23;62;62;1;1911.43249722588
Bremen;0;5.000.001 - 25.000.000;5300000;42;14;20 - 49;291;291;291;35;313;305;19;2079.3106965730794
Klötze;0;500.001 - 2.500.000;930000;9;4;10 - 19;290;292;292;17;7;7;0;1649.6089687006802
Bad Boll;0;;;14;14;20 - 49;291;291;290;34;313;308;12;1911.0006809362797
Mechernich;0;2.500.001 - 5.000.000;3500000;62;14;20 - 49;291;291;291;22;;;;2079.04430466828
Pirmasens;0;5.000.001 - 25.000.000;6000000;42;14;20 - 49;291;290;290;22;46;45;1;2078.29565104428
Bremen;0;;;61;13;20 - 49;291;291;291;35;320;312;19;2017.9116020674799
Kreuztal;0;2.500.001 - 5.000.000;2750000;23;14;20 - 49;291;291;290;34;64;61;4;1939.5575336554803
Erfurt;0;500.001 - 2.500.000;820000;72;14;20 - 49;291;290;291;27;201;195;18;1830.0795671014798
Dornhan;0;2.500.001 - 5.000.000;4900000;24;16;20 - 49;291;290;292;40;16;16;0;2082.6046041694804
Essen;0;5.000.001 - 25.000.000;11000000;63;14;20 - 49;291;291;291;20;;;;2042.3188353370795
